round,loss,accuracy
0,2.1972365688812765,0.18635097493036212
1,2.231210182171346,0.17172701949860725
2,2.1843386472101662,0.18384401114206128
3,1.819062150354837,0.3447075208913649
4,1.4014741185647863,0.4052924791086351
5,1.1075125878235756,0.5697771587743733
6,1.0146552672127163,0.6392757660167131
7,0.8252976178105993,0.7254874651810584
8,0.9676003526709455,0.6848189415041783
9,0.6757665236929333,0.7870473537604457
10,0.4592340705994112,0.8735376044568245
11,0.5713090820372894,0.8151810584958217
12,0.44452389980300555,0.86016713091922
13,0.40836725617995,0.8789693593314764
14,0.4040687963740075,0.8644846796657382
15,0.44791583492469905,0.8538997214484679
16,0.4684296546083639,0.8571030640668523
17,0.3911805520088394,0.874233983286908
18,0.27992674006735463,0.9153203342618385
19,0.28242531825573,0.9167130919220056
20,0.2929781409309954,0.914066852367688
21,0.31806900542187905,0.8958217270194986
22,0.2742393672014885,0.9200557103064066
